measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,44562,Europe,1,Male,235,95+ years,441,Colon and rectum cancer,3,Rate,2011,524.850311,585.163767,412.4053633
1,Deaths,44562,Europe,2,Female,235,95+ years,441,Colon and rectum cancer,3,Rate,2011,454.0037469,520.5480538,333.7982652
1,Deaths,44561,Asia,1,Male,11,30-34 years,441,Colon and rectum cancer,1,Number,2011,2581.633104,2803.907946,2317.207147
1,Deaths,44561,Asia,2,Female,11,30-34 years,441,Colon and rectum cancer,1,Number,2011,1700.445331,1845.982361,1563.85797
1,Deaths,44561,Asia,1,Male,11,30-34 years,441,Colon and rectum cancer,3,Rate,2011,1.627698585,1.767841058,1.460980179
1,Deaths,44561,Asia,2,Female,11,30-34 years,441,Colon and rectum cancer,3,Rate,2011,1.106915946,1.201654222,1.018003516
1,Deaths,44561,Asia,1,Male,12,35-39 years,441,Colon and rectum cancer,1,Number,2011,4604.49299,5094.969481,4087.760691
1,Deaths,44561,Asia,2,Female,12,35-39 years,441,Colon and rectum cancer,1,Number,2011,2780.000173,3033.47043,2538.35803
1,Deaths,44561,Asia,1,Male,12,35-39 years,441,Colon and rectum cancer,3,Rate,2011,2.897540211,3.206189905,2.572368119
1,Deaths,44561,Asia,2,Female,12,35-39 years,441,Colon and rectum cancer,3,Rate,2011,1.816444262,1.982061012,1.658555968
1,Deaths,44561,Asia,1,Male,13,40-44 years,441,Colon and rectum cancer,1,Number,2011,7789.993489,8698.705567,6977.87695
1,Deaths,44561,Asia,2,Female,13,40-44 years,441,Colon and rectum cancer,1,Number,2011,4792.68078,5213.416444,4398.045099
1,Deaths,44561,Asia,1,Male,13,40-44 years,441,Colon and rectum cancer,3,Rate,2011,5.072964719,5.664732135,4.544101819
1,Deaths,44561,Asia,2,Female,13,40-44 years,441,Colon and rectum cancer,3,Rate,2011,3.259788113,3.545955537,2.991372843
1,Deaths,44561,Asia,1,Male,14,45-49 years,441,Colon and rectum cancer,1,Number,2011,12692.10009,14264.19672,11278.04174
1,Deaths,44561,Asia,2,Female,14,45-49 years,441,Colon and rectum cancer,1,Number,2011,7599.161489,8260.065279,6964.634872
1,Deaths,44561,Asia,1,Male,14,45-49 years,441,Colon and rectum cancer,3,Rate,2011,9.451840006,10.62258446,8.398787065
1,Deaths,44561,Asia,2,Female,14,45-49 years,441,Colon and rectum cancer,3,Rate,2011,5.872484991,6.383218655,5.382135097
1,Deaths,44561,Asia,1,Male,15,50-54 years,441,Colon and rectum cancer,1,Number,2011,14731.80426,16255.21856,13203.48922
1,Deaths,44561,Asia,2,Female,15,50-54 years,441,Colon and rectum cancer,1,Number,2011,9465.097807,10254.04561,8759.299055
1,Deaths,44561,Asia,1,Male,15,50-54 years,441,Colon and rectum cancer,3,Rate,2011,14.31439438,15.79464437,12.8293825
1,Deaths,44561,Asia,2,Female,15,50-54 years,441,Colon and rectum cancer,3,Rate,2011,9.55190466,10.34808811,8.839632846
1,Deaths,44561,Asia,1,Male,16,55-59 years,441,Colon and rectum cancer,1,Number,2011,22545.48403,24964.01208,20328.52623
1,Deaths,44561,Asia,2,Female,16,55-59 years,441,Colon and rectum cancer,1,Number,2011,13662.91187,14820.71406,12642.26611
1,Deaths,44561,Asia,1,Male,16,55-59 years,441,Colon and rectum cancer,3,Rate,2011,24.17280569,26.76590188,21.795829
1,Deaths,44561,Asia,2,Female,16,55-59 years,441,Colon and rectum cancer,3,Rate,2011,14.82965599,16.08632867,13.72185219
1,Deaths,44561,Asia,1,Male,17,60-64 years,441,Colon and rectum cancer,1,Number,2011,28320.92257,30971.19237,25869.45518
1,Deaths,44561,Asia,2,Female,17,60-64 years,441,Colon and rectum cancer,1,Number,2011,16848.10223,18225.67086,15613.50327
1,Deaths,44561,Asia,1,Male,17,60-64 years,441,Colon and rectum cancer,3,Rate,2011,38.70111993,42.32276781,35.35113961
1,Deaths,44561,Asia,2,Female,17,60-64 years,441,Colon and rectum cancer,3,Rate,2011,22.9152592,24.78890299,21.23606977
1,Deaths,44561,Asia,1,Male,18,65-69 years,441,Colon and rectum cancer,1,Number,2011,29596.23696,32590.63938,27222.16526
1,Deaths,44561,Asia,2,Female,18,65-69 years,441,Colon and rectum cancer,1,Number,2011,17600.4304,18944.85574,16237.46801
1,Deaths,44561,Asia,1,Male,18,65-69 years,441,Colon and rectum cancer,3,Rate,2011,56.52909668,62.24843404,51.99459694
1,Deaths,44561,Asia,2,Female,18,65-69 years,441,Colon and rectum cancer,3,Rate,2011,32.74345822,35.24459793,30.20783263
1,Deaths,44561,Asia,1,Male,19,70-74 years,441,Colon and rectum cancer,1,Number,2011,32130.66731,35210.04804,29476.51692
1,Deaths,44561,Asia,2,Female,19,70-74 years,441,Colon and rectum cancer,1,Number,2011,21275.47087,23007.06941,19489.56255
1,Deaths,44561,Asia,1,Male,19,70-74 years,441,Colon and rectum cancer,3,Rate,2011,81.62400075,89.44678803,74.88145875
1,Deaths,44561,Asia,2,Female,19,70-74 years,441,Colon and rectum cancer,3,Rate,2011,49.71974182,53.76640347,45.54616085
1,Deaths,44561,Asia,1,Male,20,75-79 years,441,Colon and rectum cancer,1,Number,2011,32288.71082,35120.09088,29694.14159
1,Deaths,44561,Asia,2,Female,20,75-79 years,441,Colon and rectum cancer,1,Number,2011,23214.38282,25239.44604,20948.45858
1,Deaths,44561,Asia,1,Male,20,75-79 years,441,Colon and rectum cancer,3,Rate,2011,120.2603613,130.805929,110.5968031
1,Deaths,44561,Asia,2,Female,20,75-79 years,441,Colon and rectum cancer,3,Rate,2011,73.7670579,80.20198907,66.56675602
1,Deaths,44561,Asia,1,Male,30,80-84 years,441,Colon and rectum cancer,1,Number,2011,23558.9688,25366.67099,21326.53194
1,Deaths,44561,Asia,2,Female,30,80-84 years,441,Colon and rectum cancer,1,Number,2011,20752.12024,23120.94116,17670.22227
1,Deaths,44561,Asia,1,Male,30,80-84 years,441,Colon and rectum cancer,3,Rate,2011,166.3500302,179.1142269,150.5867792
